trial,sensor,speed,x_init,y_init,theta_init,steps,stalled,censored
0,ir,8.0,23.03326469512243,17.00645975173267,5.277853957950751,47,1,0
1,ir,5.0,16.07515710617404,19.008257710070538,3.468615901397573,2,1,0
2,ir,7.0,13.024307727170177,4.035999325364425,1.6751245090352316,29,1,0
3,ir,6.0,12.090200880820046,11.070985636048576,2.919489411373677,1,1,0
4,ir,6.0,11.066454299496346,21.000816646271613,4.737045679530206,154,1,0
5,ir,5.0,24.07313190725233,8.014608865229615,1.8156347698883823,6,1,0
6,ir,7.0,12.089707539681422,7.0600241246228155,5.985986198365457,2,1,0
7,ir,8.0,6.031362296722381,10.027173370507228,0.4121667109412754,3,1,0
8,ir,8.0,13.0258029252611,10.08599624474396,1.1446719719342928,26,1,0
9,ir,5.0,19.07233796655266,10.014211720917617,3.264810134779249,3,1,0
10,ir,5.0,23.075228592679547,13.046386232193711,5.1063442559189856,10,1,0
11,ir,8.0,13.050598504055635,10.06683536306755,5.496197550110181,84,1,0
12,ir,6.0,11.017941210297108,5.015793799522489,4.577299884193959,212,1,0
13,ir,7.0,1.0532107368170807,21.07335249184408,5.6801548850531365,86,1,0
14,ir,6.0,1.0579179373255543,20.076541028577576,6.119910111674938,2,1,0
